zeit,sport,fleissig,entmutigen,talente,einkommen,energie,megacity,geleebohnen,soziale_medien,studium,buch,alter,geschlecht,buch__Ja,buch__Nein,geschlecht__Männlich,geschlecht__Weiblich,entmutigen_orig,energie_orig,sport_qm,fleissig_qm,talente_qm,entmutigen_qm
2023/10/17 4:38:30 PM OESZ,trifft eher zu,trifft eher zu,teils teils,trifft eher nicht zu,45,82,3,400,140,60,Ja,20,Weiblich,1,0,0,1,3,ca. 82%,4,4,2,3
2023/10/17 4:38:32 PM OESZ,trifft eher zu,trifft eher zu,trifft eher nicht zu,teils teils,85,62,2,1450,200,60,Ja,20,Männlich,1,0,1,0,2,ca. 62%,4,4,3,2
2023/10/17 4:38:40 PM OESZ,teils teils,trifft eher zu,trifft eher nicht zu,teils teils,70,62,2,1400,230,120,Ja,20,Weiblich,1,0,0,1,2,ca. 62%,3,4,3,2
2023/10/17 4:38:41 PM OESZ,trifft eher nicht zu,trifft völlig zu,trifft völlig zu,trifft eher nicht zu,70,62,3,777,240,120,Nein,21,Weiblich,0,1,0,1,5,ca. 62%,2,5,2,5
2023/10/17 4:38:42 PM OESZ,teils teils,trifft eher zu,trifft eher zu,trifft überhaupt nicht zu,48,82,3,2000,120,60,Ja,21,Weiblich,1,0,0,1,4,ca. 82%,3,4,1,4
2023/10/17 4:38:42 PM OESZ,trifft eher zu,trifft eher zu,trifft eher nicht zu,trifft eher nicht zu,15,82,2,5000,100,150,Ja,21,Männlich,1,0,1,0,2,ca. 82%,4,4,2,2
2023/10/17 4:38:50 PM OESZ,trifft eher zu,trifft eher zu,trifft eher zu,trifft eher nicht zu,75%,62,3,873,80,30,Ja,23,Weiblich,1,0,0,1,4,ca. 62%,4,4,2,4
2023/10/17 4:38:52 PM OESZ,trifft völlig zu,trifft eher zu,teils teils,trifft eher nicht zu,65,62,3,750,120,30,Ja,22,Weiblich,1,0,0,1,3,ca. 62%,5,4,2,3
2023/10/17 4:38:56 PM OESZ,teils teils,trifft eher zu,trifft eher nicht zu,trifft eher nicht zu,65,42,4,350,170,20,Ja,21,Weiblich,1,0,0,1,2,ca. 42%,3,4,2,2
2023/10/17 4:39:12 PM OESZ,trifft eher nicht zu,trifft überhaupt nicht zu,trifft eher nicht zu,trifft eher zu,43,62,2,629,4,23,Ja,21,Männlich,1,0,1,0,2,ca. 62%,2,1,4,2
2023/10/17 4:39:18 PM OESZ,trifft eher nicht zu,trifft eher zu,trifft eher zu,trifft eher zu,65,82,3,2000,75,120,Ja,22,Weiblich,1,0,0,1,4,ca. 82%,2,4,4,4
2023/10/17 4:39:22 PM OESZ,trifft völlig zu,teils teils,teils teils,trifft eher nicht zu,75,82,2,2135,360,30,Nein,19,Weiblich,0,1,0,1,3,ca. 82%,5,3,2,3
2023/10/17 4:39:50 PM OESZ,teils teils,teils teils,teils teils,teils teils,60,62,3,1436,200,30,Ja,22,Weiblich,1,0,0,1,3,ca. 62%,3,3,3,3
2023/10/17 4:39:51 PM OESZ,teils teils,teils teils,trifft eher zu,trifft eher nicht zu,45,82,4,5000,150,30,Ja,20,Weiblich,1,0,0,1,4,ca. 82%,3,3,2,4
2023/10/17 4:39:52 PM OESZ,teils teils,teils teils,teils teils,trifft eher nicht zu,63,62,3,864,180,40,Nein,20,Weiblich,0,1,0,1,3,ca. 62%,3,3,2,3
2023/10/17 4:39:54 PM OESZ,trifft eher zu,teils teils,trifft eher zu,trifft eher nicht zu,75,82,3,20000,120,60,Ja,20,Weiblich,1,0,0,1,4,ca. 82%,4,3,2,4
2023/10/17 4:40:02 PM OESZ,trifft völlig zu,teils teils,teils teils,trifft eher nicht zu,53,62,3,900,150,100,Ja,20,Weiblich,1,0,0,1,3,ca. 62%,5,3,2,3
2023/10/17 4:40:03 PM OESZ,trifft völlig zu,teils teils,teils teils,trifft eher nicht zu,50,82,3,500,160,100,Ja,19,Weiblich,1,0,0,1,3,ca. 82%,5,3,2,3
2023/10/17 4:40:16 PM OESZ,teils teils,teils teils,trifft eher zu,trifft eher nicht zu,80,62,3,550,240,60,Nein,29,Männlich,0,1,1,0,4,ca. 62%,3,3,2,4
2023/10/17 4:40:21 PM OESZ,trifft völlig zu,trifft eher zu,teils teils,teils teils,50,82,2,2000,200,100,Nein,20,Weiblich,0,1,0,1,3,ca. 82%,5,4,3,3
2023/10/17 4:40:32 PM OESZ,trifft eher nicht zu,teils teils,trifft eher zu,trifft eher nicht zu,46,62,2,187,100,60,Nein,21,Weiblich,0,1,0,1,4,ca. 62%,2,3,2,4
2023/10/17 4:40:50 PM OESZ,teils teils,teils teils,trifft eher nicht zu,trifft eher zu,37,62,3,1200,180,60,Nein,21,Weiblich,0,1,0,1,2,ca. 62%,3,3,4,2
2023/10/17 4:40:50 PM OESZ,trifft völlig zu,trifft eher zu,teils teils,teils teils,28,82,3,650,90,100,Nein,20,Männlich,0,1,1,0,3,ca. 82%,5,4,3,3
2023/10/17 4:40:53 PM OESZ,trifft eher zu,teils teils,teils teils,trifft eher nicht zu,24,62,4,1010,30,1,Ja,21,Männlich,1,0,1,0,3,ca. 62%,4,3,2,3
2023/10/17 4:40:55 PM OESZ,teils teils,trifft eher zu,trifft eher zu,trifft eher nicht zu,82,42,3,1243,200,120,Ja,22,Weiblich,1,0,0,1,4,ca. 42%,3,4,2,4
2023/10/17 4:42:06 PM OESZ,trifft völlig zu,trifft eher zu,trifft eher nicht zu,trifft eher nicht zu,60,62,2,448,400,180,Nein,19,Männlich,0,1,1,0,2,ca. 62%,5,4,2,2
2023/10/17 4:42:31 PM OESZ,teils teils,trifft eher zu,trifft eher nicht zu,trifft überhaupt nicht zu,42,82,3,3537,1123,180,Ja,26,Weiblich,1,0,0,1,2,ca. 82%,3,4,1,2
